ASV_ID	B10	B11	B12	B9	C1	C10	C11	C12	C2	C3	C4	C5	C6	C7	C8	C9	D1	D10	D11	D12	D2	D3	D4	D5	D6	D7	D8	D9	E1	E10	E11	E2	E3	E4	E5	E6	E7	E8	E9	F1	F2	F3	F4	F5	F6	F7	F8	F9
ASV84	1	0	5	0	0	23	27	5	1	0	1	2	0	13	0	13	17	5	2	11	21	9	92	17	1	18	10	7	2	2	5	3	0	0	1	1	1	7	0	3	5	34	0	106	17	12	38	30
ASV85	0	0	9	0	0	0	0	29	0	0	0	0	0	0	0	0	0	44	53	0	0	0	0	0	0	0	0	0	58	0	0	23	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV86	23	14	5	0	10	0	18	0	1	27	18	31	15	26	32	0	0	3	0	0	2	0	0	0	7	0	0	0	0	25	13	0	0	3	9	4	28	0	0	0	0	11	0	0	0	0	0	0
ASV87	21	10	15	0	13	0	0	0	0	13	6	39	19	0	23	0	0	0	0	3	0	0	0	0	8	0	0	0	0	10	0	0	0	22	11	0	29	0	6	2	0	0	0	0	0	0	0	50
ASV88	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	21	75	0	0	0	0	0	0	0	0	0	133	0	6	28	7	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ASV89	1	4	0	12	2	0	13	2	2	3	14	0	0	82	8	48	5	10	14	0	21	0	0	0	0	0	0	0	18	0	3	5	9	3	6	2	2	0	0	0	0	0	21	0	0	0	0	42
ASV90	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	24	64	0	0	0	0	0	0	36	0	4	41	0	0	18	26	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
ASV91	1	0	3	0	0	54	3	11	3	0	1	4	0	8	0	3	30	0	7	29	0	25	39	0	5	20	32	0	15	1	5	11	2	0	5	5	5	3	11	5	6	6	0	0	150	15	19	0
ASV92	0	0	2	0	0	0	0	30	0	0	0	0	0	0	0	0	0	28	31	0	0	0	0	0	0	0	0	0	80	0	0	31	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV93	6	12	0	2	8	0	39	0	0	23	2	29	14	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	14	0	0	23	10	0	11	0	0	3	6	7	0	37	0	0	0	3
ASV94	0	2	0	0	0	14	0	0	3	4	9	0	3	0	2	2	21	0	0	18	19	28	43	0	2	0	6	41	3	0	0	0	0	8	0	3	0	4	0	0	0	7	0	17	0	134	13	4
ASV95	2	2	0	17	9	0	0	31	11	0	0	0	0	13	0	0	0	8	16	0	0	0	0	0	0	0	0	0	19	0	0	8	18	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV96	22	12	0	0	21	0	0	0	0	54	16	42	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ASV98	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ASV99	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	10	0	1	3	0	0	0	0	0	11	0	0	0	8	3	16	6	27	0	0	0	1	0	1	9	5	6	16	62	72	143	50	30
ASV100	21	4	0	12	6	0	0	0	57	0	6	4	0	0	0	27	0	0	0	0	12	0	21	27	11	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV101	0	0	2	0	0	0	0	28	0	0	0	0	0	0	0	0	0	14	37	0	0	0	0	0	0	0	0	0	51	0	0	39	16	0	0	0	0	0	0	4	0	0	0	0	10	0	0	5
ASV102	9	25	0	0	13	0	0	0	0	50	36	20	27	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV103	1	3	0	0	0	0	0	3	3	8	10	9	4	97	12	131	0	3	0	0	0	0	0	0	16	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV104	0	0	1	0	0	0	0	18	0	0	2	0	0	3	0	0	0	21	21	0	0	0	0	0	11	0	0	0	32	0	10	14	12	0	0	0	4	0	5	2	0	7	47	55	0	0	5	0
ASV106	4	13	0	0	7	0	7	0	0	15	26	12	10	3	14	0	0	0	0	0	7	0	3	0	0	0	0	0	1	12	0	0	0	1	3	4	6	0	11	0	13	2	0	72	0	0	0	0
ASV107	0	5	0	0	1	0	1	0	0	7	11	0	0	45	7	48	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	18	30	10	13	14	2	0	0	43	0	0	34	0	0
ASV108	0	0	0	0	0	14	0	20	0	5	1	0	0	2	0	0	49	1	5	16	6	32	3	12	0	0	2	4	12	0	10	6	0	1	1	2	1	0	13	2	3	5	0	0	0	89	17	10
ASV109	15	23	0	0	17	0	0	0	0	37	34	22	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV110	1	2	0	4	7	0	0	6	0	0	0	0	0	0	0	32	0	1	7	15	21	0	10	2	25	0	0	0	8	0	0	16	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV111	2	0	0	1	0	0	40	8	1	0	5	0	0	37	0	66	0	5	4	0	0	0	0	0	0	33	0	0	19	0	0	9	4	3	3	5	5	0	0	0	0	0	0	0	0	0	15	0
ASV112	0	0	0	0	26	0	0	0	0	0	39	45	55	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV113	0	0	7	0	0	16	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	36	0	0	8	0	17	4	19	0	0	0	3	6	4	1	7	0	0	7	12	5	11	0	50	136	35	69
ASV114	0	0	2	1	0	0	19	0	0	0	8	0	9	48	5	40	4	0	3	0	0	0	0	0	4	0	0	0	0	3	1	0	0	14	5	12	9	0	6	0	4	5	16	11	0	0	0	0
ASV115	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	25	0	0	0	0	0	0	0	1	5	4	8	76	21	0	0	424	41
ASV116	4	2	0	8	24	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV117	7	7	0	1	6	0	0	0	0	35	8	10	11	8	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	7	2	4	13	0	3	0	6	6	0	0	0	0	0	0
ASV118	5	4	0	7	7	0	0	0	101	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ASV119	26	0	0	0	22	0	0	0	0	41	0	0	41	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV120	10	13	0	29	15	0	0	0	60	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	15	0	0	0	0	32	0	0	0	91	137	0	0	130	0
ASV123	4	22	0	38	14	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV124	0	0	0	0	0	49	0	2	2	0	12	0	0	37	0	0	6	0	0	0	6	0	55	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	67
ASV125	1	15	0	18	23	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV127	0	0	0	2	0	0	22	0	2	0	0	3	0	24	0	0	0	4	15	2	0	0	0	0	0	0	16	3	35	0	16	7	4	0	1	0	2	0	5	1	0	4	17	0	0	0	0	0
ASV128	0	0	9	0	0	15	0	0	0	0	5	0	0	0	0	12	0	0	0	19	3	0	6	41	30	160	41	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	14	0	0	24	0	0
ASV130	4	5	0	18	7	21	0	0	6	0	0	0	0	0	0	3	0	1	5	0	9	0	0	6	0	0	0	0	3	0	1	3	12	0	0	0	0	0	0	0	0	0	0	0	27	0	44	0
ASV131	1	0	0	8	3	0	30	3	4	0	0	0	0	0	0	0	55	0	0	0	10	0	43	14	17	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	35	0	0	0	5	0
ASV132	8	6	0	25	14	2	0	0	4	0	4	0	0	10	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV133	14	0	0	5	0	0	0	0	36	0	0	0	0	0	7	9	43	0	0	0	0	0	17	24	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV135	0	0	4	1	0	0	0	0	2	1	0	0	0	10	0	11	11	2	0	0	1	29	14	0	10	0	0	6	5	6	2	0	0	0	1	7	0	0	0	1	0	0	0	0	120	0	33	20
ASV136	0	0	8	0	0	0	0	19	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0	0	0	0	27	0	0	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV137	0	0	0	3	0	0	0	9	0	0	0	0	0	0	0	0	0	9	36	0	0	0	0	0	0	0	0	0	16	0	0	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV138	5	3	0	25	2	3	0	0	0	0	0	0	0	25	0	0	0	0	1	5	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0
ASV139	10	0	0	27	24	13	4	2	17	0	0	0	0	0	0	0	9	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV140	0	8	0	4	3	0	0	0	27	0	0	2	0	0	0	16	0	2	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	32	0	0	0	8	0
ASV141	0	0	0	3	0	52	30	0	0	0	0	3	65	9	0	0	0	0	0	6	0	3	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0
ASV142	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	8	19	4	15	0	0	0	0	2	0	0	3	79	0	49	0	14	0
ASV143	0	0	0	2	2	0	0	16	8	0	0	0	0	0	0	0	0	7	7	1	0	2	0	0	6	31	0	4	7	0	0	23	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV144	0	0	0	0	0	5	22	0	0	0	0	0	0	0	0	0	0	0	0	9	13	6	10	34	25	38	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV145	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	4	0	0	15	0	14	9	0	3	0	9	0	3	0	2	10	0	0	3	0	0	4	0	0	26	0	0	0	0	26
ASV146	0	0	0	0	0	19	15	0	0	0	0	3	0	0	0	18	0	0	8	9	0	0	0	0	0	0	27	2	6	0	0	4	0	0	3	0	3	0	7	0	4	0	0	0	15	59	0	0
ASV148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	412	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0
ASV150	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	11	12	0	7	0	0	0	0	0	0	0	28	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV151	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV152	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	6	0	0	18	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	40	62	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV154	0	0	0	0	0	0	0	3	0	0	0	0	0	10	0	3	0	0	0	0	0	15	2	0	32	100	0	10	8	3	4	4	0	0	0	0	0	0	0	0	0	1	13	21	0	0	0	0
ASV155	0	2	1	0	0	0	0	0	4	0	0	0	0	8	0	0	13	0	0	21	26	0	0	0	0	0	0	0	0	6	4	0	0	2	0	0	2	0	0	0	0	0	64	0	0	0	4	12
ASV157	0	0	6	0	0	0	0	0	0	0	0	0	0	4	0	12	0	3	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	3	9	4	5	21	20	3	2	0	0	0	0	0	0	0
ASV159	0	0	4	0	0	0	0	8	0	0	0	0	0	0	0	0	0	3	30	0	0	0	0	0	0	0	0	0	8	0	0	12	4	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0
ASV160	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0	0	0	0	27	0	0	4	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV161	0	0	0	2	1	0	0	1	0	1	2	0	1	0	1	23	0	1	2	5	0	16	6	0	0	0	0	0	6	2	0	0	1	0	7	4	2	1	2	0	2	0	24	0	0	0	0	0
ASV162	0	0	3	0	0	16	25	9	0	0	1	0	0	0	0	0	0	0	1	0	2	7	0	2	10	0	2	0	10	1	1	8	0	0	2	0	0	6	3	5	0	0	0	0	28	0	26	0
ASV163	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	35	0	0	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV164	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	3	4	0	5	2	7	8	0	0	0	0	11	6	10	0	6	2	0	7	1	0	1	0	0	0	0	4	0	0	18	18	0	20
ASV165	2	0	0	1	0	0	3	2	0	4	0	0	0	0	0	0	47	0	0	12	5	0	43	0	42	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV166	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	20	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV167	2	10	0	19	0	0	0	10	9	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	0	0	0	0	0	0	11	2	8	6	2	0	0	0	0	0	1	4	1	0	0	35	32	35	12	0
ASV170	0	1	0	3	0	0	0	1	7	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0	0	0	0	23	1	0	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0
ASV171	0	0	0	0	0	27	0	3	0	0	0	0	0	0	0	1	0	0	0	7	0	0	16	20	0	0	0	0	11	0	3	4	4	0	5	0	0	0	0	0	0	6	16	10	32	0	0	9
ASV173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	6	0	0	2	27	27	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	27	0	56	32	0
ASV179	0	3	0	17	2	0	5	0	3	0	0	0	0	7	0	0	0	0	0	24	11	10	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV180	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	28	0	4	5	0	19	10	0	0	0	25	0	3	0	0	0	0	0	0	1	0	0	0	0	15	9	0	28	0	0	0	0
ASV182	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10	0	0	0	0	0	0	0	32	0	0	26	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	24	0	41
ASV183	0	4	0	29	4	10	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV184	2	3	0	31	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0
ASV186	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	9	0	0	13	0	0	0	0	11	0	0	16	0	35	140	0	0	0
ASV187	0	4	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	1	1	5	2	0	6	0	0	0	0	0	0	0	4	0	0	60	0	4	39
ASV188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0
ASV189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	9	0	0	1	0	118	28	0	36	13
ASV191	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	22	5	0	0	0	0	0	0	0	0	0	0	0	0	10	12	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV192	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	25	4	0	0	0	9	8	0	0	0	0	7	9	0	0	0	0	0	0	0	0	17	3	3	0	2	12	47	0	33	0	0
