anemones,P0A,P0S,CA,CS,P2A,P2S,RA,RS,gnoto,Apo,Sym,control,plus0ab,plus2ab,recovery,CFU,Endo,ASV1,ASV3,ASV7,ASV70,relASV1,relASV3,relASV7,relASV70,relTotalEndo
P0A1,1,0,0,0,0,0,0,0,plus0ab,1,0,0,1,0,0,216.6666667,1.66666667,1.666666667,0,0,0,0.00029672,0,0,0,0.00029672
P0A3,1,0,0,0,0,0,0,0,plus0ab,1,0,0,1,0,0,216.6666667,1.66666667,1.666666667,0,0,0,0.00029672,0,0,0,0.00029672
P0A4,1,0,0,0,0,0,0,0,plus0ab,1,0,0,1,0,0,216.6666667,1.66666667,1.666666667,0,0,0,0.00029672,0,0,0,0.00029672
P0A6,1,0,0,0,0,0,0,0,plus0ab,1,0,0,1,0,0,216.6666667,1.66666667,1.666666667,0,0,0,0.00029672,0,0,0,0.00029672
P0S1,0,1,0,0,0,0,0,0,plus0ab,0,1,0,1,0,0,337.5,4246.5,2351,1264.5,576.3333333,54.66666667,0.418550828,0.225120171,0.102605187,0.00973236,0.756008545
P0S2,0,1,0,0,0,0,0,0,plus0ab,0,1,0,1,0,0,337.5,4246.5,2351,1264.5,576.3333333,54.66666667,0.418550828,0.225120171,0.102605187,0.00973236,0.756008545
P0S3,0,1,0,0,0,0,0,0,plus0ab,0,1,0,1,0,0,337.5,4246.5,2351,1264.5,576.3333333,54.66666667,0.418550828,0.225120171,0.102605187,0.00973236,0.756008545
P0S6,0,1,0,0,0,0,0,0,plus0ab,0,1,0,1,0,0,337.5,4246.5,2351,1264.5,576.3333333,54.66666667,0.418550828,0.225120171,0.102605187,0.00973236,0.756008545
P0S7,0,1,0,0,0,0,0,0,plus0ab,0,1,0,1,0,0,337.5,4246.5,2351,1264.5,576.3333333,54.66666667,0.418550828,0.225120171,0.102605187,0.00973236,0.756008545
CA1,0,0,1,0,0,0,0,0,control,1,0,1,0,0,0,333550,2358.333333,1345,691.3333333,310.8333333,11.16666667,0.239451665,0.123078749,0.055337962,0.001988013,0.381520385
CA2,0,0,1,0,0,0,0,0,control,1,0,1,0,0,0,333550,2358.333333,1345,691.3333333,310.8333333,11.16666667,0.239451665,0.123078749,0.055337962,0.001988013,0.381520385
CA3,0,0,1,0,0,0,0,0,control,1,0,1,0,0,0,333550,2358.333333,1345,691.3333333,310.8333333,11.16666667,0.239451665,0.123078749,0.055337962,0.001988013,0.381520385
CA4,0,0,1,0,0,0,0,0,control,1,0,1,0,0,0,333550,2358.333333,1345,691.3333333,310.8333333,11.16666667,0.239451665,0.123078749,0.055337962,0.001988013,0.381520385
CS1,0,0,0,1,0,0,0,0,control,0,1,1,0,0,0,41875,1430.5,810.3333333,423,191.3333333,5.833333333,0.144264435,0.075307103,0.03406326,0.001038514,0.254673313
CS2,0,0,0,1,0,0,0,0,control,0,1,1,0,0,0,41875,1430.5,810.3333333,423,191.3333333,5.833333333,0.144264435,0.075307103,0.03406326,0.001038514,0.254673313
CS3,0,0,0,1,0,0,0,0,control,0,1,1,0,0,0,41875,1430.5,810.3333333,423,191.3333333,5.833333333,0.144264435,0.075307103,0.03406326,0.001038514,0.254673313
CS5,0,0,0,1,0,0,0,0,control,0,1,1,0,0,0,41875,1430.5,810.3333333,423,191.3333333,5.833333333,0.144264435,0.075307103,0.03406326,0.001038514,0.254673313
CS6,0,0,0,1,0,0,0,0,control,0,1,1,0,0,0,41875,1430.5,810.3333333,423,191.3333333,5.833333333,0.144264435,0.075307103,0.03406326,0.001038514,0.254673313
P2A2,0,0,0,0,1,0,0,0,plus2ab,1,0,0,0,1,0,1475,2.2,2.2,0,0,0,0.000391668,0,0,0,0.000391668
P2A4,0,0,0,0,1,0,0,0,plus2ab,1,0,0,0,1,0,1475,2.2,2.2,0,0,0,0.000391668,0,0,0,0.000391668
P2A5,0,0,0,0,1,0,0,0,plus2ab,1,0,0,0,1,0,1475,2.2,2.2,0,0,0,0.000391668,0,0,0,0.000391668
P2A6,0,0,0,0,1,0,0,0,plus2ab,1,0,0,0,1,0,1475,2.2,2.2,0,0,0,0.000391668,0,0,0,0.000391668
P2A7,0,0,0,0,1,0,0,0,plus2ab,1,0,0,0,1,0,1475,2.2,2.2,0,0,0,0.000391668,0,0,0,0.000391668
P2S1,0,0,0,0,0,1,0,0,plus2ab,0,1,0,0,1,0,6250,3358.333333,1886.166667,963.5,491.6666667,17,0.335796095,0.171532847,0.087531897,0.003026527,0.597887366
P2S2,0,0,0,0,0,1,0,0,plus2ab,0,1,0,0,1,0,6250,3358.333333,1886.166667,963.5,491.6666667,17,0.335796095,0.171532847,0.087531897,0.003026527,0.597887366
P2S3,0,0,0,0,0,1,0,0,plus2ab,0,1,0,0,1,0,6250,3358.333333,1886.166667,963.5,491.6666667,17,0.335796095,0.171532847,0.087531897,0.003026527,0.597887366
P2S4,0,0,0,0,0,1,0,0,plus2ab,0,1,0,0,1,0,6250,3358.333333,1886.166667,963.5,491.6666667,17,0.335796095,0.171532847,0.087531897,0.003026527,0.597887366
P2S5,0,0,0,0,0,1,0,0,plus2ab,0,1,0,0,1,0,6250,3358.333333,1886.166667,963.5,491.6666667,17,0.335796095,0.171532847,0.087531897,0.003026527,0.597887366
P2S6,0,0,0,0,0,1,0,0,plus2ab,0,1,0,0,1,0,6250,3358.333333,1886.166667,963.5,491.6666667,17,0.335796095,0.171532847,0.087531897,0.003026527,0.597887366
RA1,0,0,0,0,0,0,1,0,recovery,1,0,0,0,0,1,30750,10.16666667,9.166666667,0,1,0,0.001631951,0,0.000178031,0,0.001809982
RA2,0,0,0,0,0,0,1,0,recovery,1,0,0,0,0,1,30750,10.16666667,9.166666667,0,1,0,0.001631951,0,0.000178031,0,0.001809982
RA3,0,0,0,0,0,0,1,0,recovery,1,0,0,0,0,1,30750,10.16666667,9.166666667,0,1,0,0.001631951,0,0.000178031,0,0.001809982
RA4,0,0,0,0,0,0,1,0,recovery,1,0,0,0,0,1,30750,10.16666667,9.166666667,0,1,0,0.001631951,0,0.000178031,0,0.001809982
RA5,0,0,0,0,0,0,1,0,recovery,1,0,0,0,0,1,30750,10.16666667,9.166666667,0,1,0,0.001631951,0,0.000178031,0,0.001809982
RS1,0,0,0,0,0,0,0,1,recovery,0,1,0,0,0,1,6125,153.1428571,89.14285714,42.85714286,21.14285714,0,0.01587019,0.007629899,0.003764084,0,0.027264173
RS2,0,0,0,0,0,0,0,1,recovery,0,1,0,0,0,1,6125,153.1428571,89.14285714,42.85714286,21.14285714,0,0.01587019,0.007629899,0.003764084,0,0.027264173
RS4,0,0,0,0,0,0,0,1,recovery,0,1,0,0,0,1,6125,153.1428571,89.14285714,42.85714286,21.14285714,0,0.01587019,0.007629899,0.003764084,0,0.027264173
RS6,0,0,0,0,0,0,0,1,recovery,0,1,0,0,0,1,6125,153.1428571,89.14285714,42.85714286,21.14285714,0,0.01587019,0.007629899,0.003764084,0,0.027264173
RS7,0,0,0,0,0,0,0,1,recovery,0,1,0,0,0,1,6125,153.1428571,89.14285714,42.85714286,21.14285714,0,0.01587019,0.007629899,0.003764084,0,0.027264173