"accession_code","MEblack","MEgreen","MEturquoise","MEyellow","MEpurple","MEred","MEmagenta","MEpink","MEblue","MEbrown"
"P0A1",0.294857572000242,0.0142063471069297,-0.185881501018879,-0.251339101345625,-0.106240866081793,0.0129089729261447,-0.285313836756395,-0.16107331789934,0.187838418782053,0.14703486390535
"P0A3",0.309936020184073,0.200571102401049,-0.119815627397685,-0.27637321117975,-0.154650117173743,-0.0256912141784853,-0.220323393608286,-0.134441447749032,0.153369719312668,0.0122049237171394
"P0A4",0.23652890029409,-0.176740976525023,-0.216497981705837,-0.285640320424058,-0.125908234948856,-0.0328711988516202,-0.284066987689433,-0.158624997390305,0.183999542281814,0.294405851310073
"P0A6",0.271634032540523,0.0172897833909801,-0.178807188611604,-0.273304430625657,-0.133437677677991,0.0202279220895185,-0.294746790266992,-0.157177492282802,0.188946961424246,0.0965750094934175
"P0S1",0.235861750351155,0.170650562028736,0.212677329147005,-0.166843809335059,-0.248573775646232,-0.202029919399682,0.031766868265987,-0.138700181073852,-0.168907424388119,-0.0537150237751617
"P0S2",0.300717620157454,0.181538517627197,0.147480923646304,-0.129233891266847,-0.311821598034959,-0.343523987205641,0.0248370863185427,-0.0232110032641969,-0.0468959559688592,-0.148505192493603
"P0S3",0.27534816215974,0.119907740087504,0.1923060999231,-0.12218373254794,-0.286276658679862,-0.353108405668815,0.129631489146352,-0.0195400997825666,-0.145489981066075,-0.0927787978717415
"P0S6",0.238576598978285,-0.343446119499033,0.139897502111595,-0.0712094624228834,-0.210941571155624,-0.0946281539539173,-0.0104322492992478,-0.0985958722373012,-0.00205120768119796,-0.297714164769163
"P0S7",0.292854356647559,-0.145610600838021,0.189578414190402,-0.0405592106938227,-0.197124861315422,-0.225671383771122,0.0293694959492481,-0.041373018246882,-0.0841526860846969,-0.335825933774185
"CA1",-0.0695781699259568,-0.438197704609782,-0.261763277663199,-0.0966351220253528,-0.136376213564355,0.076746826073626,0.0125486779444287,0.216512547891298,0.324589239242644,0.041468101756167
"CA2",-0.0285530157817967,-0.355975087954616,-0.201730786840732,-0.120391707357193,-0.120737577187961,0.0131769602813544,0.0603377509035564,0.229630211778467,0.238157848456574,0.105595266281928
"CA3",-0.0307638248642732,-0.0996823185545238,-0.205526661352887,-0.199518889344934,-0.156421568710113,0.0704083309810064,-0.00707108726195107,0.21384271953844,0.247285701392428,0.0218982085624648
"CA4",-0.0292530908616977,0.0315908914707341,-0.209982552938213,-0.155694213209943,-0.13279951287166,0.0688608246861994,0.0780664855794634,0.232982475901426,0.24731293046445,-0.0440000827376153
"CS1",-0.153535056611643,0.179240876798806,0.0547956452505499,0.0405528322325689,-0.0442111169605314,-0.0849614043376454,0.258880733800673,0.160460613930571,-0.111185781805204,0.0387686891113924
"CS2",-0.0630166590500071,0.141102653444287,0.102742766476557,0.118077008791365,-0.000202371512896517,-0.223118615502136,0.308055374571877,0.203783058186815,-0.121997491809565,-0.0240514977496082
"CS3",-0.056006712630637,0.187925614414947,0.140125150543217,0.0522603388976428,-0.071005939690532,-0.29553280962422,0.353693549988231,0.282000443102885,-0.148061685806225,-0.0332990037349724
"CS5",-0.142298561205088,0.0391092619967012,0.0684066790972184,0.0388279178779175,-0.0536174582808571,-0.086563690815743,0.193699582683971,0.1651226915575,-0.0831402800595245,0.0346976280672018
"CS6",-0.0896162466487954,0.140164718119373,0.107947208625959,-0.0118933090663145,-0.0175021157577058,-0.216507125270897,0.391336035958821,0.289974747902273,-0.135664084323087,0.0629772491932004
"P2A2",-0.0705407744594364,-0.0191659510645525,-0.105044031477843,-0.104872276776332,0.168183459684805,0.202195998262382,-0.192036118705536,-0.0785776345637104,0.0829256523797144,0.0883715232053162
"P2A4",-0.0508473724995999,0.0470517898533149,-0.104394120497943,-0.0331755426337299,0.211967402809592,0.202406437146379,-0.181683793897329,-0.0570415972703193,0.065182403371888,0.0515867685729077
"P2A5",-0.0597836220875162,0.0200147011186214,-0.152420857868414,-0.0607334174203558,0.192487211688731,0.203829275307901,-0.180008054869058,-0.0270289794169507,0.0744834231804042,0.231462494068882
"P2A6",0.0197525478562927,0.0223699647706893,-0.0628230876873648,-0.0708697095258712,0.177165077958652,0.166092631254684,-0.152030400758866,-0.106215876477702,0.0613235262719212,0.0403323053820522
"P2A7",-0.0706389777962848,-0.0471488624227914,-0.0537337927035633,-0.0411403526809444,0.0316650979060467,0.04229155680653,-0.0524404719468225,-0.0633724819679116,0.0146906074138573,0.258558870284748
"P2S1",0.000843639040728798,0.133976054393133,0.24426918094673,0.0788339267577452,0.113833143575178,-0.0712670853761368,0.0312969622183482,-0.156794542598004,-0.269560017653169,-0.108044412106465
"P2S2",-0.111724049725804,-0.0149522210165259,0.183450402313637,0.0958287650957808,0.117430949414909,-0.0655730438032128,0.0271447198965039,-0.167966357928089,-0.273987963918449,0.119759856447998
"P2S3",-0.0224233609651483,0.0494068095843162,0.213319783204521,0.0692742467306594,0.1301766878614,-0.0281314587801442,0.0220942356884674,-0.117173208659501,-0.181977384359683,-0.0873851600702924
"P2S4",-0.142649012388969,-0.136498236968905,0.142114548880659,0.0614617618935444,0.035546418269267,0.0281549441057932,-0.0127106113950213,-0.138501618218176,-0.225205617562864,0.125358703562193
"P2S5",-0.051259595848945,0.0599309519366042,0.185708159443947,0.0772089644791231,0.146739027083182,0.0104092364990264,-0.00947891522249636,-0.125778578382631,-0.170815501087389,-0.0722569381137519
"P2S6",-0.0336626307610608,0.0961712298066441,0.234153197506346,0.122059997911561,0.0998626469136949,-0.0712941126696007,-0.0291385281960581,-0.103439346477451,-0.223354457003368,-0.140501546053425
"RA1",-0.0286952532582456,0.150304417361566,-0.0901770776844335,-0.0297936188928879,-0.0367948258981557,-0.0363256964905722,0.112413921234615,0.230281975852132,0.0563574140005978,0.0872263129163105
"RA2",-0.0546331813446054,-0.215343347780626,-0.20007450195956,0.0859592132200066,-0.0496750779969552,0.0468864857230325,0.0367221488331298,0.188421325378662,0.187454542338507,0.0599303979250868
"RA3",-0.0304262819053264,-0.0621560073375699,-0.12565474192416,0.0828758158879031,-0.0470745780345605,0.0321472980193976,0.116523413352224,0.17840092097563,0.090590955931861,0.00308031716021727
"RA4",-0.0237697065156106,-0.0322649489638721,-0.147344193765188,0.0627573705080781,-0.0193674428404523,0.046729249486795,0.0688572144985198,0.186155789177918,0.11921399398062,0.0323140276389853
"RA5",-0.195748627566829,-0.295222565745215,-0.240766148596432,0.090240951413819,0.0424178944974142,0.118999819685764,-0.0198448609673259,0.0633986303162337,0.193217590979612,0.349012625542734
"RS1",-0.11450517945999,0.115121209583882,0.0925429470982397,0.32186578710875,0.232770298514368,0.189144116272922,-0.0774730795748257,-0.17157096675126,-0.0701041251703642,-0.317495863254991
"RS2",-0.186765689185991,-0.0422331105788277,0.0518967109081649,0.320524232316151,0.290072250011535,0.279080919075776,-0.041003510775935,-0.116369988220557,-0.0194240340696486,-0.302791873038807
"RS4",-0.144778304108269,0.0413502570973299,0.0955100138244262,0.300406124791247,0.248791995681717,0.250890940072093,-0.025983165402529,-0.148502344127765,-0.0696357982536866,-0.296326868636986
"RS6",-0.236227965316133,0.17389799512826,0.00591822592141022,0.296855924624103,0.260333719677446,0.22631585543772,-0.122790085415777,-0.18211297140673,-0.064997397027572,0.00306482090891995
"RS7",-0.185210277436483,0.0917446103382787,0.0575972426339477,0.225534148237532,0.16131787847328,0.148894705505545,-0.0886998048230743,-0.147784229097215,-0.100331596107115,0.0490075431660817
